Emp ID,satisfaction_level,number_project,average_montly_hours,motivation,motivation_A1,motivation_A2,motivation_A3,motivation_A4,motivation_A5,motivation_A6,motivation_A7,motivation_A8
69,0.76,5,223,0.7455,0.7455,0.7955,0.82005,0,0.8455,0.8155,0.7955,0.8255
70,0.43,2,135,0.4575,0.4575,0.5075,0.434625,0,0.4875,0.4875,0.5075,0.4775
71,0.74,2,277,0.5945,0.5945,0.6445,0.564775,0,0.6945,0.6645,0.6445,0.6145
72,0.09,5,275,0.3325,0.3325,0.3825,0.315875,0,0.4325,0.3625,0.3825,0.4125
73,0.45,2,149,0.4885,0.4885,0.5385,0.464075,0,0.5185,0.5185,0.5385,0.5085
74,0.09,7,295,0.3425,0.3425,0.3925,0.325375,0,0.4425,0.3725,0.3925,0.4225
75,0.11,6,277,0.3595,0.3595,0.4095,0.341525,0,0.4595,0.3895,0.4095,0.4395
76,0.11,7,306,0.336,0.336,0.386,0.3192,0,0.436,0.366,0.386,0.416
77,0.1,6,295,0.3275,0.3275,0.3775,0.311125,0,0.4275,0.3575,0.3775,0.4075
78,0.4,2,137,0.4455,0.4455,0.4955,0.423225,0,0.4755,0.4755,0.4955,0.4655
79,0.43,2,157,0.4905,0.4905,0.5405,0.465975,0,0.5205,0.5205,0.5405,0.5105
80,0.39,2,142,0.448,0.448,0.498,0.4256,0,0.478,0.478,0.498,0.468
81,0.45,2,140,0.475,0.475,0.525,0.45125,0,0.505,0.505,0.525,0.495
82,0.38,2,151,0.4565,0.4565,0.5065,0.433675,0,0.4865,0.4865,0.5065,0.4765
83,0.79,4,139,0.6835,0.6835,0.7335,0.75185,0,0.7135,0.7535,0.7335,0.7035
84,0.84,4,249,0.7265,0.7265,0.7765,0.79915,0,0.8265,0.7965,0.7765,0.7465
85,0.11,6,291,0.3385,0.3385,0.3885,0.321575,0,0.4385,0.3685,0.3885,0.4185
86,0.11,6,305,0.3175,0.3175,0.3675,0.301625,0,0.4175,0.3475,0.3675,0.3975
87,0.17,5,232,0.437,0.437,0.487,0.41515,0,0.537,0.467,0.487,0.517
88,0.44,2,132,0.458,0.458,0.508,0.4351,0,0.488,0.488,0.508,0.478
89,0.37,2,130,0.42,0.42,0.47,0.399,0,0.45,0.45,0.47,0.44
90,0.1,6,291,0.3335,0.3335,0.3835,0.316825,0,0.4335,0.3635,0.3835,0.4135
91,0.4,2,130,0.435,0.435,0.485,0.41325,0,0.465,0.465,0.485,0.455
92,0.89,5,246,0.776,0.776,0.826,0.8536,0,0.876,0.846,0.826,0.856
93,0.42,2,143,0.4645,0.4645,0.5145,0.441275,0,0.4945,0.4945,0.5145,0.4845
94,0.46,2,129,0.4635,0.4635,0.5135,0.440325,0,0.4935,0.4935,0.5135,0.4835
95,0.09,6,255,0.3825,0.3825,0.4325,0.363375,0,0.4825,0.4125,0.4325,0.4625
96,0.37,2,155,0.4575,0.4575,0.5075,0.434625,0,0.4875,0.4875,0.5075,0.4775
97,0.1,6,265,0.3725,0.3725,0.4225,0.353875,0,0.4725,0.4025,0.4225,0.4525
98,0.1,6,279,0.3515,0.3515,0.4015,0.333925,0,0.4515,0.3815,0.4015,0.4315
99,0.11,6,284,0.349,0.349,0.399,0.33155,0,0.449,0.379,0.399,0.429
100,0.9,5,221,0.8185,0.8185,0.8685,0.90035,0,0.9185,0.8885,0.8685,0.8985
101,0.38,2,154,0.461,0.461,0.511,0.43795,0,0.491,0.491,0.511,0.481
102,0.36,2,147,0.4405,0.4405,0.4905,0.418475,0,0.4705,0.4705,0.4905,0.4605
103,0.42,2,150,0.475,0.475,0.525,0.45125,0,0.505,0.505,0.525,0.495
104,0.09,7,267,0.3845,0.3845,0.4345,0.365275,0,0.4845,0.4145,0.4345,0.4645
105,0.43,2,158,0.492,0.492,0.542,0.4674,0,0.522,0.522,0.542,0.512
106,0.24,7,224,0.524,0.524,0.574,0.4978,0,0.624,0.554,0.574,0.604
107,0.91,4,257,0.7495,0.7495,0.7995,0.82445,0,0.8495,0.8195,0.7995,0.7695
108,0.44,2,148,0.482,0.482,0.532,0.4579,0,0.512,0.512,0.532,0.502
109,0.71,3,177,0.6805,0.6805,0.7305,0.74855,0,0.7105,0.7505,0.7305,0.7005
110,0.4,2,155,0.4725,0.4725,0.5225,0.448875,0,0.5025,0.5025,0.5225,0.4925
111,0.43,2,144,0.471,0.471,0.521,0.44745,0,0.501,0.501,0.521,0.491
112,0.09,6,289,0.3315,0.3315,0.3815,0.314925,0,0.4315,0.3615,0.3815,0.4115
113,0.43,2,160,0.495,0.495,0.545,0.47025,0,0.525,0.525,0.545,0.515
114,0.9,4,258,0.743,0.743,0.793,0.8173,0,0.843,0.813,0.793,0.763
115,0.84,5,234,0.769,0.769,0.819,0.8459,0,0.869,0.839,0.819,0.849
116,0.37,2,137,0.4305,0.4305,0.4805,0.408975,0,0.4605,0.4605,0.4805,0.4505
117,0.86,5,263,0.7355,0.7355,0.7855,0.80905,0,0.8355,0.8055,0.7855,0.8155
118,0.11,6,251,0.3985,0.3985,0.4485,0.378575,0,0.4985,0.4285,0.4485,0.4785
119,0.37,2,133,0.4245,0.4245,0.4745,0.403275,0,0.4545,0.4545,0.4745,0.4445
120,0.4,2,132,0.438,0.438,0.488,0.4161,0,0.468,0.468,0.488,0.458
121,0.14,4,158,0.387,0.387,0.437,0.36765,0,0.417,0.417,0.437,0.407
122,0.4,2,135,0.4425,0.4425,0.4925,0.420375,0,0.4725,0.4725,0.4925,0.4625
123,0.75,4,216,0.731,0.731,0.781,0.8041,0,0.761,0.801,0.781,0.751
124,0.11,6,300,0.325,0.325,0.375,0.30875,0,0.425,0.355,0.375,0.405
125,0.46,2,138,0.477,0.477,0.527,0.45315,0,0.507,0.507,0.527,0.497
126,0.11,6,260,0.385,0.385,0.435,0.36575,0,0.485,0.415,0.435,0.465
127,0.38,2,132,0.428,0.428,0.478,0.4066,0,0.458,0.458,0.478,0.448
128,0.7,3,183,0.6845,0.6845,0.7345,0.75295,0,0.7145,0.7145,0.7345,0.7045
129,0.09,6,250,0.39,0.39,0.44,0.3705,0,0.49,0.42,0.44,0.47
130,0.37,2,151,0.4515,0.4515,0.5015,0.428925,0,0.4815,0.4815,0.5015,0.4715
131,0.1,6,292,0.332,0.332,0.382,0.3154,0,0.432,0.362,0.382,0.412
132,0.38,2,140,0.44,0.44,0.49,0.418,0,0.47,0.47,0.49,0.46
133,0.9,5,221,0.8185,0.8185,0.8685,0.90035,0,0.9185,0.8885,0.8685,0.8985
134,0.44,2,138,0.467,0.467,0.517,0.44365,0,0.497,0.497,0.517,0.487
135,0.36,2,132,0.418,0.418,0.468,0.3971,0,0.448,0.448,0.468,0.438
136,0.31,7,133,0.4945,0.4945,0.5445,0.469775,0,0.5245,0.5245,0.5445,0.5745
137,0.1,6,283,0.3455,0.3455,0.3955,0.328225,0,0.4455,0.3755,0.3955,0.4255
138,0.42,2,129,0.4435,0.4435,0.4935,0.421325,0,0.4735,0.4735,0.4935,0.4635
139,0.74,4,249,0.6765,0.6765,0.7265,0.74415,0,0.7765,0.7465,0.7265,0.6965
140,0.73,5,257,0.6795,0.6795,0.7295,0.74745,0,0.7795,0.7495,0.7295,0.7595
141,0.09,6,245,0.3975,0.3975,0.4475,0.377625,0,0.4975,0.4275,0.4475,0.4775
142,0.45,2,155,0.4975,0.4975,0.5475,0.472625,0,0.5275,0.5275,0.5475,0.5175
143,0.11,6,256,0.391,0.391,0.441,0.37145,0,0.491,0.421,0.441,0.471
144,0.37,2,152,0.453,0.453,0.503,0.43035,0,0.483,0.483,0.503,0.473
145,0.84,4,267,0.6995,0.6995,0.7495,0.76945,0,0.7995,0.7695,0.7495,0.7195
146,0.41,2,151,0.4715,0.4715,0.5215,0.447925,0,0.5015,0.5015,0.5215,0.4915
147,0.76,4,239,0.7015,0.7015,0.7515,0.77165,0,0.8015,0.7715,0.7515,0.7215
148,0.11,6,306,0.316,0.316,0.366,0.3002,0,0.416,0.346,0.366,0.396
149,0.84,4,263,0.7055,0.7055,0.7555,0.77605,0,0.8055,0.7755,0.7555,0.7255
150,0.39,2,147,0.4555,0.4555,0.5055,0.432725,0,0.4855,0.4855,0.5055,0.4755
151,0.11,6,278,0.358,0.358,0.408,0.3401,0,0.458,0.388,0.408,0.438
152,0.45,2,154,0.496,0.496,0.546,0.4712,0,0.526,0.526,0.546,0.516
153,0.37,2,143,0.4395,0.4395,0.4895,0.417525,0,0.4695,0.4695,0.4895,0.4595
154,0.4,2,155,0.4725,0.4725,0.5225,0.448875,0,0.5025,0.5025,0.5225,0.4925
155,0.39,2,160,0.475,0.475,0.525,0.45125,0,0.505,0.505,0.525,0.495
156,0.11,6,304,0.319,0.319,0.369,0.30305,0,0.419,0.349,0.369,0.399
157,0.83,5,240,0.755,0.755,0.805,0.8305,0,0.855,0.825,0.805,0.835
158,0.11,6,305,0.3175,0.3175,0.3675,0.301625,0,0.4175,0.3475,0.3675,0.3975
159,0.39,2,136,0.439,0.439,0.489,0.41705,0,0.469,0.469,0.489,0.459
160,0.45,2,132,0.463,0.463,0.513,0.43985,0,0.493,0.493,0.513,0.483
161,0.1,7,301,0.3385,0.3385,0.3885,0.321575,0,0.4385,0.3685,0.3885,0.4185
162,0.9,5,243,0.7855,0.7855,0.8355,0.86405,0,0.8855,0.8555,0.8355,0.8655
163,0.45,2,147,0.4855,0.4855,0.5355,0.461225,0,0.5155,0.5155,0.5355,0.5055
164,0.79,5,239,0.7365,0.7365,0.7865,0.81015,0,0.8365,0.8065,0.7865,0.8165
165,0.9,5,260,0.76,0.76,0.81,0.836,0,0.86,0.83,0.81,0.84
166,0.11,7,296,0.351,0.351,0.401,0.33345,0,0.451,0.381,0.401,0.431
167,0.43,2,129,0.4485,0.4485,0.4985,0.426075,0,0.4785,0.4785,0.4985,0.4685
168,0.31,5,132,0.453,0.453,0.503,0.43035,0,0.483,0.483,0.503,0.533
169,0.32,2,135,0.4025,0.4025,0.4525,0.382375,0,0.4325,0.4325,0.4525,0.4225
170,0.45,2,158,0.502,0.502,0.552,0.4769,0,0.532,0.532,0.552,0.522
171,0.81,4,259,0.6965,0.6965,0.7465,0.76615,0,0.7965,0.7665,0.7465,0.7165
172,0.41,2,160,0.485,0.485,0.535,0.46075,0,0.515,0.515,0.535,0.505
173,0.11,7,278,0.378,0.378,0.428,0.3591,0,0.478,0.408,0.428,0.458
174,0.1,6,284,0.344,0.344,0.394,0.3268,0,0.444,0.374,0.394,0.424
175,0.7,2,274,0.579,0.579,0.629,0.55005,0,0.679,0.609,0.629,0.599
176,0.54,4,164,0.596,0.596,0.646,0.5662,0,0.626,0.626,0.646,0.616
177,0.41,2,148,0.467,0.467,0.517,0.44365,0,0.497,0.497,0.517,0.487
178,0.38,2,140,0.44,0.44,0.49,0.418,0,0.47,0.47,0.49,0.46
179,0.37,2,127,0.4155,0.4155,0.4655,0.394725,0,0.4455,0.4455,0.4655,0.4355
180,0.11,6,308,0.313,0.313,0.363,0.29735,0,0.413,0.343,0.363,0.393
181,0.4,2,146,0.459,0.459,0.509,0.43605,0,0.489,0.489,0.509,0.479
182,0.1,6,261,0.3785,0.3785,0.4285,0.359575,0,0.4785,0.4085,0.4285,0.4585
183,0.89,5,257,0.7595,0.7595,0.8095,0.83545,0,0.8595,0.8295,0.8095,0.8395
184,0.11,6,285,0.3475,0.3475,0.3975,0.330125,0,0.4475,0.3775,0.3975,0.4275
185,0.36,2,141,0.4315,0.4315,0.4815,0.409925,0,0.4615,0.4615,0.4815,0.4515
186,0.4,2,127,0.4305,0.4305,0.4805,0.408975,0,0.4605,0.4605,0.4805,0.4505
187,0.09,6,297,0.3195,0.3195,0.3695,0.303525,0,0.4195,0.3495,0.3695,0.3995
188,0.4,2,143,0.4545,0.4545,0.5045,0.431775,0,0.4845,0.4845,0.5045,0.4745
189,0.37,2,152,0.453,0.453,0.503,0.43035,0,0.483,0.483,0.503,0.473
190,0.44,2,156,0.494,0.494,0.544,0.4693,0,0.524,0.524,0.544,0.514
191,0.09,7,283,0.3605,0.3605,0.4105,0.342475,0,0.4605,0.3905,0.4105,0.4405
192,0.92,4,226,0.801,0.801,0.851,0.8811,0,0.901,0.871,0.851,0.821
193,0.74,4,232,0.702,0.702,0.752,0.7722,0,0.802,0.772,0.752,0.722
194,0.09,6,249,0.3915,0.3915,0.4415,0.371925,0,0.4915,0.4215,0.4415,0.4715
195,0.89,4,275,0.7125,0.7125,0.7625,0.78375,0,0.8125,0.7825,0.7625,0.7325
196,0.09,6,304,0.309,0.309,0.359,0.29355,0,0.409,0.339,0.359,0.389
197,0.27,7,278,0.458,0.458,0.508,0.4351,0,0.558,0.488,0.508,0.538
198,0.1,6,287,0.3395,0.3395,0.3895,0.322525,0,0.4395,0.3695,0.3895,0.4195
199,0.1,7,285,0.3625,0.3625,0.4125,0.344375,0,0.4625,0.3925,0.4125,0.4425
200,0.77,5,226,0.746,0.746,0.796,0.8206,0,0.846,0.816,0.796,0.826
201,0.9,5,259,0.7615,0.7615,0.8115,0.83765,0,0.8615,0.8315,0.8115,0.8415
202,0.39,2,135,0.4375,0.4375,0.4875,0.415625,0,0.4675,0.4675,0.4875,0.4575
203,0.76,5,219,0.7515,0.7515,0.8015,0.82665,0,0.7815,0.8215,0.8015,0.8315
204,0.1,6,256,0.386,0.386,0.436,0.3667,0,0.486,0.416,0.436,0.466
205,0.87,5,254,0.754,0.754,0.804,0.8294,0,0.854,0.824,0.804,0.834
206,0.38,2,153,0.4595,0.4595,0.5095,0.436525,0,0.4895,0.4895,0.5095,0.4795
207,0.77,5,228,0.743,0.743,0.793,0.8173,0,0.843,0.813,0.793,0.823
208,0.78,4,228,0.728,0.728,0.778,0.8008,0,0.828,0.798,0.778,0.748
209,0.44,2,128,0.452,0.452,0.502,0.4294,0,0.482,0.482,0.502,0.472
210,0.38,2,153,0.4595,0.4595,0.5095,0.436525,0,0.4895,0.4895,0.5095,0.4795
211,0.43,2,156,0.489,0.489,0.539,0.46455,0,0.519,0.519,0.539,0.509
212,0.39,4,294,0.434,0.434,0.484,0.4123,0,0.534,0.464,0.484,0.454
213,0.88,5,219,0.8115,0.8115,0.8615,0.89265,0,0.8415,0.8815,0.8615,0.8915
214,0.45,2,153,0.4945,0.4945,0.5445,0.469775,0,0.5245,0.5245,0.5445,0.5145
215,0.4,2,151,0.4665,0.4665,0.5165,0.443175,0,0.4965,0.4965,0.5165,0.4865
216,0.36,2,155,0.4525,0.4525,0.5025,0.429875,0,0.4825,0.4825,0.5025,0.4725
217,0.36,2,158,0.457,0.457,0.507,0.43415,0,0.487,0.487,0.507,0.477
218,0.9,5,245,0.7825,0.7825,0.8325,0.86075,0,0.8825,0.8525,0.8325,0.8625
219,0.43,2,131,0.4515,0.4515,0.5015,0.428925,0,0.4815,0.4815,0.5015,0.4715
220,0.89,5,225,0.8075,0.8075,0.8575,0.88825,0,0.9075,0.8775,0.8575,0.8875
221,0.1,6,286,0.341,0.341,0.391,0.32395,0,0.441,0.371,0.391,0.421
222,0.37,2,135,0.4275,0.4275,0.4775,0.406125,0,0.4575,0.4575,0.4775,0.4475
223,0.37,2,153,0.4545,0.4545,0.5045,0.431775,0,0.4845,0.4845,0.5045,0.4745
224,0.87,5,252,0.757,0.757,0.807,0.8327,0,0.857,0.827,0.807,0.837
225,0.4,2,149,0.4635,0.4635,0.5135,0.440325,0,0.4935,0.4935,0.5135,0.4835
226,0.9,4,258,0.743,0.743,0.793,0.8173,0,0.843,0.813,0.793,0.763
227,0.37,2,158,0.462,0.462,0.512,0.4389,0,0.492,0.492,0.512,0.482
228,0.44,2,149,0.4835,0.4835,0.5335,0.459325,0,0.5135,0.5135,0.5335,0.5035
229,0.85,5,236,0.771,0.771,0.821,0.8481,0,0.871,0.841,0.821,0.851
230,0.78,5,239,0.7315,0.7315,0.7815,0.80465,0,0.8315,0.8015,0.7815,0.8115
231,0.42,2,159,0.4885,0.4885,0.5385,0.464075,0,0.5185,0.5185,0.5385,0.5085
232,0.92,5,255,0.7775,0.7775,0.8275,0.85525,0,0.8775,0.8475,0.8275,0.8575
233,0.11,6,244,0.409,0.409,0.459,0.38855,0,0.509,0.439,0.459,0.489
234,0.42,2,134,0.451,0.451,0.501,0.42845,0,0.481,0.481,0.501,0.471
235,0.48,4,270,0.515,0.515,0.565,0.48925,0,0.615,0.545,0.565,0.535
236,0.83,4,255,0.7125,0.7125,0.7625,0.78375,0,0.8125,0.7825,0.7625,0.7325
237,0.4,2,151,0.4665,0.4665,0.5165,0.443175,0,0.4965,0.4965,0.5165,0.4865
238,0.43,2,135,0.4575,0.4575,0.5075,0.434625,0,0.4875,0.4875,0.5075,0.4775
239,0.43,2,146,0.474,0.474,0.524,0.4503,0,0.504,0.504,0.524,0.494
240,0.1,7,254,0.409,0.409,0.459,0.38855,0,0.509,0.439,0.459,0.489
241,0.1,7,289,0.3565,0.3565,0.4065,0.338675,0,0.4565,0.3865,0.4065,0.4365
242,0.37,2,156,0.459,0.459,0.509,0.43605,0,0.489,0.489,0.509,0.479
243,0.38,2,156,0.464,0.464,0.514,0.4408,0,0.494,0.494,0.514,0.484
244,0.4,2,128,0.432,0.432,0.482,0.4104,0,0.462,0.462,0.482,0.452
245,0.89,5,275,0.7325,0.7325,0.7825,0.80575,0,0.8325,0.8025,0.7825,0.8125
246,0.45,2,155,0.4975,0.4975,0.5475,0.472625,0,0.5275,0.5275,0.5475,0.5175
247,0.37,2,159,0.4635,0.4635,0.5135,0.440325,0,0.4935,0.4935,0.5135,0.4835
248,0.46,2,148,0.492,0.492,0.542,0.4674,0,0.522,0.522,0.542,0.512
249,0.87,4,228,0.773,0.773,0.823,0.8503,0,0.873,0.843,0.823,0.793
250,0.11,6,298,0.328,0.328,0.378,0.3116,0,0.428,0.358,0.378,0.408
251,0.79,5,261,0.7035,0.7035,0.7535,0.77385,0,0.8035,0.7735,0.7535,0.7835
252,0.79,5,254,0.714,0.714,0.764,0.7854,0,0.814,0.784,0.764,0.794
253,0.19,7,192,0.523,0.523,0.573,0.49685,0,0.553,0.553,0.573,0.603
254,0.87,4,248,0.743,0.743,0.793,0.8173,0,0.843,0.813,0.793,0.763
255,0.6,2,258,0.553,0.553,0.603,0.52535,0,0.653,0.583,0.603,0.573
256,0.44,2,156,0.494,0.494,0.544,0.4693,0,0.524,0.524,0.544,0.514
257,0.11,6,266,0.376,0.376,0.426,0.3572,0,0.476,0.406,0.426,0.456
258,0.42,2,156,0.484,0.484,0.534,0.4598,0,0.514,0.514,0.534,0.504
259,0.88,5,232,0.792,0.792,0.842,0.8712,0,0.892,0.862,0.842,0.872
260,0.11,6,287,0.3445,0.3445,0.3945,0.327275,0,0.4445,0.3745,0.3945,0.4245
261,0.46,2,154,0.501,0.501,0.551,0.47595,0,0.531,0.531,0.551,0.521
262,0.82,5,263,0.7155,0.7155,0.7655,0.78705,0,0.8155,0.7855,0.7655,0.7955
263,0.44,2,131,0.4565,0.4565,0.5065,0.433675,0,0.4865,0.4865,0.5065,0.4765
264,0.11,6,260,0.385,0.385,0.435,0.36575,0,0.485,0.415,0.435,0.465
265,0.42,2,139,0.4585,0.4585,0.5085,0.435575,0,0.4885,0.4885,0.5085,0.4785
266,0.84,4,251,0.7235,0.7235,0.7735,0.79585,0,0.8235,0.7935,0.7735,0.7435
267,0.11,6,286,0.346,0.346,0.396,0.3287,0,0.446,0.376,0.396,0.426
268,0.45,2,129,0.4585,0.4585,0.5085,0.435575,0,0.4885,0.4885,0.5085,0.4785
269,0.38,2,156,0.464,0.464,0.514,0.4408,0,0.494,0.494,0.514,0.484
270,0.38,6,139,0.5185,0.5185,0.5685,0.492575,0,0.5485,0.5485,0.5685,0.5985
271,0.44,2,127,0.4505,0.4505,0.5005,0.427975,0,0.4805,0.4805,0.5005,0.4705
272,0.11,6,251,0.3985,0.3985,0.4485,0.378575,0,0.4985,0.4285,0.4485,0.4785
273,0.81,5,270,0.7,0.7,0.75,0.77,0,0.8,0.77,0.75,0.78
274,0.09,6,296,0.321,0.321,0.371,0.30495,0,0.421,0.351,0.371,0.401
275,0.11,6,254,0.394,0.394,0.444,0.3743,0,0.494,0.424,0.444,0.474
276,0.81,5,238,0.748,0.748,0.798,0.8228,0,0.848,0.818,0.798,0.828
277,0.1,6,267,0.3695,0.3695,0.4195,0.351025,0,0.4695,0.3995,0.4195,0.4495
278,0.74,5,229,0.7265,0.7265,0.7765,0.79915,0,0.8265,0.7965,0.7765,0.8065
279,0.09,6,254,0.384,0.384,0.434,0.3648,0,0.484,0.414,0.434,0.464
280,0.82,4,233,0.7405,0.7405,0.7905,0.81455,0,0.8405,0.8105,0.7905,0.7605
281,0.1,6,268,0.368,0.368,0.418,0.3496,0,0.468,0.398,0.418,0.448
282,0.27,3,301,0.3435,0.3435,0.3935,0.326325,0,0.4435,0.3735,0.3935,0.3635
283,0.83,5,267,0.7145,0.7145,0.7645,0.78595,0,0.8145,0.7845,0.7645,0.7945
284,0.1,6,289,0.3365,0.3365,0.3865,0.319675,0,0.4365,0.3665,0.3865,0.4165
